"first(Location, false)",max(Rating)
Italy,5.0
Germany,4.0
France,4.0
Belgium,4.0
Ecuador,4.0
Madagascar,4.0
Sao Tome,4.0
United States,4.0
Spain,4.0
Guatemala,4.0
Switzerland,4.0
Canada,4.0
Brazil,4.0
Australia,4.0
Scotland,4.0
Colombia,4.0
United Kingdom,4.0
Singapore,3.75
Argentina,3.75
Chile,3.75
Bolivia,3.75
Lithuania,3.75
Denmark,3.75
Amsterdam,3.75
Venezuela,3.75
Iceland,3.75
Israel,3.75
New Zealand,3.75
Poland,3.75
Austria,3.75
Hungary,3.75
Vietnam,3.75
Sweden,3.5
Philippines,3.5
Fiji,3.5
Finland,3.5
Peru,3.5
South Korea,3.5
Domincan Republic,3.5
Honduras,3.5
Japan,3.5
Costa Rica,3.5
Netherlands,3.5
Russia,3.25
Nicaragua,3.25
St. Lucia,3.25
Suriname,3.25
Ireland,3.25
Grenada,3.25
Eucador,3.0
Mexico,3.0
Portugal,3.0
South Africa,3.0
Wales,2.75
Ghana,2.75
Puerto Rico,2.75
Martinique,2.75
Niacragua,2.75
Czech Republic,2.75
India,2.5
