"first(Location, false)",avg(Rating)
Chile,3.75
Philippines,3.5
Amsterdam,3.5
Netherlands,3.5
Iceland,3.4166666666666665
Vietnam,3.409090909090909
Brazil,3.3970588235294117
Poland,3.375
Australia,3.357142857142857
Guatemala,3.35
Switzerland,3.3421052631578947
Singapore,3.3333333333333335
Italy,3.3253968253968256
Scotland,3.325
Canada,3.324
Argentina,3.3055555555555554
Denmark,3.283333333333333
Spain,3.27
France,3.2516025641025643
Russia,3.25
Fiji,3.25
Finland,3.25
Bolivia,3.25
Suriname,3.25
Israel,3.25
Austria,3.2403846153846154
Honduras,3.2083333333333335
Hungary,3.2045454545454546
South Korea,3.2
Domincan Republic,3.2
New Zealand,3.1911764705882355
Germany,3.1785714285714284
Venezuela,3.175
Colombia,3.1739130434782608
Lithuania,3.1666666666666665
United States,3.1541230366492146
Madagascar,3.1470588235294117
Costa Rica,3.138888888888889
Belgium,3.09375
Japan,3.088235294117647
United Kingdom,3.0546875
Sweden,3.05
Ecuador,3.009259259259259
Nicaragua,3.0
St. Lucia,3.0
Eucador,3.0
Sao Tome,2.9375
Peru,2.8970588235294117
Grenada,2.8333333333333335
Ireland,2.8125
Wales,2.75
Ghana,2.75
Martinique,2.75
Niacragua,2.75
Czech Republic,2.75
Portugal,2.75
Mexico,2.6875
South Africa,2.6666666666666665
Puerto Rico,2.625
India,2.5
