"first(BroadBeanOrigin, false)","first(Location, false)",max(Rating)
Dominican Republic,Amsterdam,3.75
Venezuela,Argentina,3.75
null ,Australia,4.0
Bolivia,Austria,3.75
Costa Rica,Belgium,4.0
Bolivia,Bolivia,3.75
Brazil,Brazil,4.0
Belize,Canada,4.0
Peru,Chile,3.75
Colombia,Colombia,4.0
Guatemala,Costa Rica,3.5
Madagascar,Czech Republic,2.75
Nicaragua,Denmark,3.75
Dominican Republic,Domincan Republic,3.5
Ecuador,Ecuador,4.0
Ecuador,Eucador,3.0
Fiji,Fiji,3.5
Madagascar,Finland,3.5
Sao Tome,France,4.0
Belize,Germany,4.0
Ghana,Ghana,2.75
Grenada,Grenada,3.25
Guatemala,Guatemala,4.0
El Salvador,Honduras,3.5
Venezuela,Hungary,3.75
Tanzania,Iceland,3.75
India,India,2.5
Peru,Ireland,3.25
Peru,Israel,3.75
Peru,Italy,5.0
Madagascar,Japan,3.5
"Trinidad, Tobago",Lithuania,3.75
Madagascar,Madagascar,4.0
Martinique,Martinique,2.75
Mexico,Mexico,3.0
Ecuador,Netherlands,3.5
Papua New Guinea,New Zealand,3.75
Nicaragua,Niacragua,2.75
Nicaragua,Nicaragua,3.25
Peru,Peru,3.5
Philippines,Philippines,3.5
Nicaragua,Poland,3.75
Jamaica,Portugal,3.0
Puerto Rico,Puerto Rico,2.75
Ecuador,Russia,3.25
Sao Tome & Principe,Sao Tome,4.0
Peru,Scotland,4.0
Madagascar,Singapore,3.75
Uganda,South Africa,3.0
Vietnam,South Korea,3.5
Ghana,Spain,4.0
St. Lucia,St. Lucia,3.25
Suriname,Suriname,3.25
Venezuela,Sweden,3.5
Indonesia,Switzerland,4.0
Trinidad,United Kingdom,4.0
Peru,United States,4.0
Venezuela,Venezuela,3.75
Vietnam,Vietnam,3.75
Costa Rica,Wales,2.75
