"first(Company, false)","first(SpecificBeanOrigin, false)",avg(Rating)
Cote d' Or (Kraft),Sensations Intense,1.0
Machu Picchu Trading Co.,Peru,1.875
Callebaut,Grenade,1.875
Majani,Ecuador,2.0
Jacque Torres,Trinatario Treasure,2.0
Ki' Xocolatl,Dark,2.0
Love Bar,Nicaragua,2.0
Dolfin (Belcolade),Africa,2.25
Shark's,Hilo,2.25
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2.375
Marsatta,Dominican Republic,2.375
Paul Young,"Madagascar, w/ shell",2.5
Raw Cocoa,Raw,2.5
Mita,Tumaco,2.5
Cacao Arabuco,Puerto Rico,2.5
Pinellas,Wampusirpi Region,2.5
Oakland Chocolate Co.,Jamaica,2.5
Sibu Sura,Peru,2.5
Hachez,Arriba,2.5
Whittakers,Ghana,2.5
Chocolate Alchemist-Philly,"\"Tumbes, \"\"Zarumilla\"\"\"",2.5
Garden Island,"Kaua'I, Alea Estate +world",2.5
Desbarres,"Kilombero, batch 41",2.5
Chocolats Privilege,Xoconusco,2.5
Neuhaus (Callebaut),Papua New Guinea,2.5
Indah,India (south),2.5
Lake Champlain (Callebaut),Tanzania,2.5
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2.5
Chocovivo,Tabasco,2.5
Honest,"Ecuador, w/ nibs",2.5
Menakao (aka Cinagra),Madagascar,2.5
Green & Black's (ICAM),Dark,2.5
Cacao Atlanta,Tumbes,2.5
Loiza,Puerto Rico,2.5
La Oroquidea,Peruvian Amazon,2.5
Ethel's Artisan (Mars),"Peru, Madagascar",2.55
Snake & Butterfly,Ghana,2.5833333333333335
Chocolarder,Peru,2.5833333333333335
StRita Supreme,"Samar, East Visayas region",2.5833333333333335
Pomm (aka Dead Dog),"La Red, 2011",2.625
SRSLY,Dominican Republic,2.625
Pascha,Peru,2.625
Olivia,Carribean-Raw,2.625
Vanleer (Barry Callebaut),Manhattan,2.625
Xocolla,"Sambirano, batch 170102",2.625
TCHO,West Africa,2.65625
Vivra,Peru,2.6666666666666665
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",2.6875
Dormouse,Non Pariel Estate,2.6875
Bisou,"Nicaragua, American style",2.6875
Nathan Miller,Peru,2.6875
Cacao Barry,Grand 'Anse,2.7
Alain Ducasse,Trinite,2.7
