Company,Rating
Amano,4.0
Amano,4.0
Arete,4.0
Arete,4.0
Arete,4.0
Bar Au Chocolat,4.0
Brasstown aka It's Chocolate,4.0
Castronovo,4.0
Durci,4.0
Fresco,4.0
Fresco,4.0
Fresco,4.0
Fresco,4.0
Fruition,4.0
Heirloom Cacao Preservation (Zokoko),4.0
Just Good Chocolate,4.0
L.A. Burdick (Felchlin),4.0
Patric,4.0
Patric,4.0
Patric,4.0
Ritual,4.0
Rogue,4.0
Scharffen Berger,4.0
Scharffen Berger,4.0
Woodblock,4.0
Acalli,3.75
Acalli,3.75
Amano,3.75
Amano,3.75
Arete,3.75
Arete,3.75
Arete,3.75
Arete,3.75
Arete,3.75
Askinosie,3.75
Askinosie,3.75
Askinosie,3.75
Askinosie,3.75
Bar Au Chocolat,3.75
Batch,3.75
Bittersweet Origins,3.75
Bittersweet Origins,3.75
Blue Bandana,3.75
Brasstown aka It's Chocolate,3.75
Brasstown aka It's Chocolate,3.75
Brasstown aka It's Chocolate,3.75
Cacao Prieto,3.75
Cacao Prieto,3.75
Castronovo,3.75
Chocola'te,3.75
Chocola'te,3.75
Creo,3.75
Dandelion,3.75
Dandelion,3.75
Dandelion,3.75
Dick Taylor,3.75
Dick Taylor,3.75
Dole (Guittard),3.75
Ethereal,3.75
Fresco,3.75
Fresco,3.75
Fruition,3.75
Fruition,3.75
Fruition,3.75
Guittard,3.75
Heirloom Cacao Preservation (Guittard),3.75
Heirloom Cacao Preservation (Guittard),3.75
Heirloom Cacao Preservation (Zokoko),3.75
Kerchner,3.75
K'ul,3.75
K'ul,3.75
L.A. Burdick (Felchlin),3.75
L.A. Burdick (Felchlin),3.75
L.A. Burdick (Felchlin),3.75
Lillie Belle,3.75
Lonohana,3.75
Lonohana,3.75
Mana,3.75
Manoa,3.75
Manoa,3.75
Mast Brothers,3.75
Mast Brothers,3.75
Middlebury,3.75
Middlebury,3.75
Nuance,3.75
Nuance,3.75
Patric,3.75
Potomac,3.75
Potomac,3.75
Potomac,3.75
Ritual,3.75
Ritual,3.75
Rogue,3.75
Rogue,3.75
Rogue,3.75
Rogue,3.75
Rogue,3.75
Rogue,3.75
Scharffen Berger,3.75
Scharffen Berger,3.75
Scharffen Berger,3.75
Scharffen Berger,3.75
Scharffen Berger,3.75
Spencer,3.75
Terroir,3.75
Terroir,3.75
Terroir,3.75
Terroir,3.75
Terroir,3.75
Videri,3.75
Wm,3.75
Amano,3.5
Animas,3.5
Arete,3.5
Arete,3.5
Arete,3.5
Arete,3.5
Arete,3.5
Arete,3.5
Arete,3.5
Arete,3.5
Bar Au Chocolat,3.5
Bar Au Chocolat,3.5
Batch,3.5
Bellflower,3.5
Bellflower,3.5
Bittersweet Origins,3.5
Bittersweet Origins,3.5
Bittersweet Origins,3.5
Bittersweet Origins,3.5
Blue Bandana,3.5
Blue Bandana,3.5
Blue Bandana,3.5
Brasstown aka It's Chocolate,3.5
Brasstown aka It's Chocolate,3.5
Brasstown aka It's Chocolate,3.5
Brazen,3.5
Burnt Fork Bend,3.5
Cacao Market,3.5
Castronovo,3.5
Castronovo,3.5
Castronovo,3.5
Castronovo,3.5
Castronovo,3.5
Chequessett,3.5
Cloudforest,3.5
Condor,3.5
Dandelion,3.5
Dandelion,3.5
Dandelion,3.5
Dandelion,3.5
DeVries,3.5
DeVries,3.5
Dick Taylor,3.5
Dick Taylor,3.5
Dick Taylor,3.5
Durci,3.5
Durci,3.5
Escazu,3.5
Ethereal,3.5
French Broad,3.5
French Broad,3.5
French Broad,3.5
French Broad,3.5
French Broad,3.5
French Broad,3.5
Fresco,3.5
Fresco,3.5
Fresco,3.5
Fresco,3.5
Fresco,3.5
Fresco,3.5
Fresco,3.5
Fresco,3.5
Glennmade,3.5
Guittard,3.5
Guittard,3.5
