"first(Company, false)","first(SpecificBeanOrigin, false)",max(Rating)
Holy Cacao,Maranon,3.75
Lajedo do Ouro,Catongo,3.5
Izard,"Maya Mountain, Toledo, Batch 29",3.5
Pacari,"Sierra Nevada, Tutu Iku",4.0
Amedei,"Piura, Blanco de Criollo",5.0
"Smooth Chocolator, The","Oko Caribe, DOR005",4.0
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",3.75
Paul Young,"Madagascar, w/ shell",2.75
Shattell,Porcelana,3.5
Choklat,Ocumare,3.0
Friis Holm (Bonnat),La Dalia,3.75
Daintree,Goodman Estate,3.25
Malmo,Chuao,3.0
Wm,"Guasare, Zulia Prov., 2015, batch 124",3.75
Benoit Nihant,Baracoa,4.0
Just Good Chocolate,Belize,4.0
Taza,Belize,3.25
AMMA,Catongo,4.0
Chocola'te,Madagascar,3.75
Vietcacao (A. Morin),"Ben Tre, Mekong Delta, MoCay",3.5
Beschle (Felchlin),Madagascar,4.0
Doble & Bignall,Puerto Cabello,3.5
Rancho San Jacinto,Ecuador,3.0
Starchild,"Bolivar, Arriba",3.0
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",3.75
Chokolat Elot (Girard),Guadeloupe,2.75
Claudio Corallo,Terreiro Velho P.,4.0
Mayacama,Hispaniola,3.0
Solstice,Bundibugyo,3.5
Raw Cocoa,Raw,2.5
Davis,Ghana,3.25
Mita,Tumaco,2.5
Original Beans (Felchlin),Papua Kerafat,3.75
Seaforth,Dominican Republic,2.75
Belyzium,"Belize south, low fermentation",3.5
Cacao Arabuco,Puerto Rico,2.5
Isidro,Madagascar,3.5
Raoul Boulanger,Piura,3.25
Snake & Butterfly,Ghana,3.25
Summerbird,Peru,3.0
Britarev,Ecuador,3.25
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",3.25
Levy,Sambirano,3.5
Vivra,Peru,3.0
Baravelli's,single estate,2.75
Felchlin,Grenada,4.0
Spencer,Dominican Republic,3.75
Terroir,Peru,3.75
Chocolarder,Peru,2.75
Kakao,Peru,3.75
Tejas,Concepcion,3.5
Willie's Cacao,Los Llanos,4.0
hello cocoa,Uganda,3.5
Chuao Chocolatier (Pralus),Chuao,2.75
Hotel Chocolat,"Pepiniere, single Cote",4.0
Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,3.5
Pura Delizia,Venezuela,2.75
Theobroma,"Piura Select, Cacao Blanc",3.25
Chequessett,la Amistad,3.5
Cravve,New Ireland,3.5
Soma,"Oko Caribe, Duarte P., Collab w Chocosol",4.0
Violet Sky,Sambirano Valley,3.25
Ambrosia,Belize,3.5
Hogarth,Akesson's Estate,3.5
Scharffen Berger,San Juan de Cheni,4.0
Brazen,Elvesia P.,3.5
Letterpress,"La Masica, Batch 7, FHIA",3.5
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",3.5
Mindo,Ecuador,2.75
Pralus,Peru,4.0
A. Morin,Agua Grande,4.0
