"first(Company, false)",max(Rating)
Amedei,5.0
Pacari,4.0
"Smooth Chocolator, The",4.0
Benoit Nihant,4.0
Just Good Chocolate,4.0
AMMA,4.0
Beschle (Felchlin),4.0
Claudio Corallo,4.0
Felchlin,4.0
Willie's Cacao,4.0
Hotel Chocolat,4.0
Soma,4.0
Scharffen Berger,4.0
Pralus,4.0
A. Morin,4.0
Artisan du Chocolat,4.0
Santander (Compania Nacional),4.0
Danta,4.0
Matale,4.0
Arete,4.0
Rogue,4.0
Madecasse (Cinagra),4.0
Georgia Ramon,4.0
Castronovo,4.0
Heirloom Cacao Preservation (Zokoko),4.0
Woodblock,4.0
Domori,4.0
Bar Au Chocolat,4.0
Tobago Estate (Pralus),4.0
Duffy's,4.0
Durci,4.0
Michel Cluizel,4.0
Idilio (Felchlin),4.0
Ocelot,4.0
L.A. Burdick (Felchlin),4.0
Valrhona,4.0
Patric,4.0
Amano,4.0
Pierre Marcolini,4.0
Brasstown aka It's Chocolate,4.0
Fresco,4.0
Ritual,4.0
Fruition,4.0
Bonnat,4.0
Cacao Sampaka,4.0
Holy Cacao,3.75
Lonohana,3.75
Friis Holm (Bonnat),3.75
Wm,3.75
Chocola'te,3.75
Akesson's (Pralus),3.75
Original Beans (Felchlin),3.75
Spencer,3.75
Terroir,3.75
Kakao,3.75
Manufaktura Czekolady,3.75
Zotter,3.75
"Chocolate Tree, The",3.75
Sirene,3.75
East Van Roasters,3.75
Compania de Chocolate (Salgado),3.75
Republica del Cacao (aka Confecta),3.75
Naive,3.75
Cacao Prieto,3.75
Middlebury,3.75
Creo,3.75
Captain Pembleton,3.75
Guittard,3.75
Marou,3.75
Coppeneur,3.75
La Maison du Chocolat (Valrhona),3.75
El Rey,3.75
Mission,3.75
Dole (Guittard),3.75
Ethereal,3.75
Mana,3.75
Dick Taylor,3.75
Fossa,3.75
Szanto Tibor,3.75
Dandelion,3.75
Cacao Hunters,3.75
Neuhaus (Callebaut),3.75
Christopher Morel (Felchlin),3.75
Obolo,3.75
Acalli,3.75
Cacao de Origen,3.75
Franceschi,3.75
Omnom,3.75
Videri,3.75
Laia aka Chat-Noir,3.75
Debauve & Gallais (Michel Cluizel),3.75
Blue Bandana,3.75
Palette de Bine,3.75
Potomac,3.75
Timo A. Meyer,3.75
Un Dimanche A Paris,3.75
Askinosie,3.75
Heirloom Cacao Preservation (Guittard),3.75
Kerchner,3.75
Zokoko,3.75
Batch,3.75
Nuance,3.75
Chocolate Makers,3.75
Lillie Belle,3.75
Mast Brothers,3.75
