"first(Company, false)",avg(Rating)
Tobago Estate (Pralus),4.0
Heirloom Cacao Preservation (Zokoko),3.875
Ocelot,3.875
Amedei,3.8461538461538463
Matale,3.8125
Patric,3.7916666666666665
Idilio (Felchlin),3.775
Chocola'te,3.75
Dole (Guittard),3.75
Christopher Morel (Felchlin),3.75
Obolo,3.75
Acalli,3.75
Timo A. Meyer,3.75
Un Dimanche A Paris,3.75
Kerchner,3.75
Benoit Nihant,3.7083333333333335
Madecasse (Cinagra),3.6875
Just Good Chocolate,3.6666666666666665
Cacao Sampaka,3.6666666666666665
Captain Pembleton,3.625
Mission,3.625
Franceschi,3.625
Bar Au Chocolat,3.6
Soma,3.5851063829787235
Brasstown aka It's Chocolate,3.5555555555555554
Georgia Ramon,3.55
Zokoko,3.55
Arete,3.534090909090909
Ritual,3.5277777777777777
"Smooth Chocolator, The",3.515625
Lajedo do Ouro,3.5
Shattell,3.5
AMMA,3.5
Vietcacao (A. Morin),3.5
Levy,3.5
Terroir,3.5
Chequessett,3.5
Manufaktura Czekolady,3.5
Heirloom Cacao Preservation (Mindo),3.5
Animas,3.5
Malagos,3.5
East Van Roasters,3.5
Chloe Chocolat,3.5
Heirloom Cacao Preservation (Millcreek),3.5
Creo,3.5
Condor,3.5
Cloudforest,3.5
Minimal,3.5
De Mendes,3.5
Monarque,3.5
Duffy's,3.5
Durci,3.5
Wellington Chocolate Factory,3.5
Friis Holm,3.5
Green Bean to Bar,3.5
Metropolitan,3.5
Heirloom Cacao Preservation (Manoa),3.5
Oialla by Bojessen (Malmo),3.5
Nanea,3.5
Heirloom Cacao Preservation (Fruition),3.5
Nugali,3.5
Salgado,3.5
Stone Grindz,3.5
Heirloom Cacao Preservation (Guittard),3.5
Muchomas (Mesocacao),3.5
Batch,3.5
Alexandre,3.5
Chocolate Makers,3.5
Cacao Market,3.5
Park 75,3.5
Rococo (Grenada Chocolate Co.),3.5
Tsara (Cinagra),3.5
Domori,3.477272727272727
L.A. Burdick (Felchlin),3.4722222222222223
Cacao Hunters,3.4642857142857144
Pierre Marcolini,3.4642857142857144
Marou,3.45
Videri,3.45
Cacao Prieto,3.4375
Bonnat,3.435185185185185
Potomac,3.4285714285714284
Wm,3.4166666666666665
Bellflower,3.4166666666666665
Danta,3.4166666666666665
Ethereal,3.4166666666666665
Omnom,3.4166666666666665
Askinosie,3.4166666666666665
Montecristi,3.4166666666666665
Amano,3.4166666666666665
Sirene,3.409090909090909
Rogue,3.40625
Frederic Blondeel,3.4
Szanto Tibor,3.4
Spencer,3.392857142857143
Fresco,3.3846153846153846
A. Morin,3.380434782608696
Lonohana,3.375
Beschle (Felchlin),3.375
Sibu,3.375
Debauve & Gallais (Michel Cluizel),3.375
Amazona,3.375
Somerville,3.375
Soul,3.375
K'ul,3.375
Friis Holm (Bonnat),3.3541666666666665
Nuance,3.35
Hummingbird,3.34375
Letterpress,3.3333333333333335
Naive,3.3333333333333335
Fossa,3.3333333333333335
Blue Bandana,3.3333333333333335
Valrhona,3.3333333333333335
Lillie Belle,3.3333333333333335
Fruition,3.3333333333333335
La Maison du Chocolat (Valrhona),3.325
Manoa,3.3214285714285716
Parliament,3.3125
Dandelion,3.3125
Harper Macaw,3.3125
Maverick,3.3125
Zotter,3.3088235294117645
Carlotta Chocolat,3.3
"Chocolate Tree, The",3.2916666666666665
Cacao de Origen,3.2916666666666665
Pralus,3.28
Map Chocolate,3.275
Palette de Bine,3.272727272727273
Pacari,3.269230769230769
Castronovo,3.267857142857143
Bittersweet Origins,3.267857142857143
Holy Cacao,3.25
Doble & Bignall,3.25
Raoul Boulanger,3.25
