BroadBeanOrigin,count(BroadBeanOrigin)
Venezuela,214
Ecuador,193
Peru,165
Madagascar,145
Dominican Republic,141
null ,73
Nicaragua,60
Brazil,58
Bolivia,57
Belize,49
Papua New Guinea,42
Colombia,40
Costa Rica,38
Vietnam,38
Tanzania,34
Trinidad,33
Ghana,33
Mexico,30
Hawaii,28
Guatemala,28
Domincan Republic,25
Jamaica,20
Grenada,19
Indonesia,16
Honduras,15
Cuba,11
Sao Tome,10
Congo,10
Haiti,9
Fiji,8
St. Lucia,8
Carribean,8
Uganda,8
Panama,7
Vanuatu,7
Sao Tome & Principe,7
West Africa,6
Philippines,5
Ivory Coast,5
Central and S. America,4
India,4
Puerto Rico,4
Solomon Islands,4
Malaysia,3
Togo,3
South America,3
Liberia,3
"Colombia, Ecuador",3
Australia,3
Tobago,2
Sri Lanka,2
"Trinidad, Tobago",2
"Ghana, Domin. Rep",2
Samoa,2
El Salvador,2
"Indonesia, Ghana",1
"PNG, Vanuatu, Mad",1
Burma,1
"Venezuela, Dom. Rep.",1
"Venezuela, Trinidad",1
"Ven., Trinidad, Mad.",1
"South America, Africa",1
"Peru, Belize",1
"Trinidad, Ecuador",1
Venezuela/ Ghana,1
"Ven, Trinidad, Ecuador",1
"Venezuela, Java",1
"DR, Ecuador, Peru",1
"Venez,Africa,Brasil,Peru,Mex",1
"Ecuador, Mad., PNG",1
Martinique,1
"Peru, Ecuador, Venezuela",1
"Venezuela, Carribean",1
Nigeria,1
Gabon,1
"Peru, Ecuador",1
Suriname,1
"Ven.,Ecu.,Peru,Nic.",1
"Dominican Rep., Bali",1
"Africa, Carribean, C. Am.",1
"Venezuela, Ghana",1
"Ecuador, Costa Rica",1
"Gre., PNG, Haw., Haiti, Mad",1
"Mad., Java, PNG",1
"Ven, Bolivia, D.R.",1
"Guat., D.R., Peru, Mad., PNG",1
"Cost Rica, Ven",1
"Dom. Rep., Madagascar",1
"Ven., Indonesia, Ecuad.",1
Trinidad-Tobago,1
"Peru, Dom. Rep",1
"Peru, Madagascar",1
Ghana & Madagascar,1
"Peru, Mad., Dom. Rep.",1
Cameroon,1
Madagascar & Ecuador,1
"Ghana, Panama, Ecuador",1
"Peru(SMartin,Pangoa,nacional)",1
Carribean(DR/Jam/Tri),1
Principe,1
,0
