"first(BroadBeanOrigin, false)",max(Rating)
null ,5.0
Venezuela,5.0
Tobago,4.0
Ecuador,4.0
"Venezuela, Java",4.0
Madagascar,4.0
Sao Tome,4.0
Ghana,4.0
Nicaragua,4.0
Peru,4.0
St. Lucia,4.0
Bolivia,4.0
South America,4.0
Mexico,4.0
Indonesia,4.0
"Gre., PNG, Haw., Haiti, Mad",4.0
Guatemala,4.0
"Ven, Bolivia, D.R.",4.0
"Guat., D.R., Peru, Mad., PNG",4.0
Jamaica,4.0
"Dom. Rep., Madagascar",4.0
Belize,4.0
Brazil,4.0
Dominican Republic,4.0
"Peru, Dom. Rep",4.0
Haiti,4.0
Papua New Guinea,4.0
Costa Rica,4.0
Colombia,4.0
Sao Tome & Principe,4.0
Vietnam,4.0
Hawaii,3.75
Central and S. America,3.75
"PNG, Vanuatu, Mad",3.75
Philippines,3.75
Trinidad,3.75
"Peru, Belize",3.75
"DR, Ecuador, Peru",3.75
"Trinidad, Tobago",3.75
"Venez,Africa,Brasil,Peru,Mex",3.75
Carribean,3.75
Cuba,3.75
"Ven.,Ecu.,Peru,Nic.",3.75
Congo,3.75
"Dominican Rep., Bali",3.75
Domincan Republic,3.75
Honduras,3.75
Uganda,3.75
Tanzania,3.75
Australia,3.75
Solomon Islands,3.75
Vanuatu,3.75
"Indonesia, Ghana",3.5
Malaysia,3.5
Fiji,3.5
Togo,3.5
"Trinidad, Ecuador",3.5
Venezuela/ Ghana,3.5
India,3.5
Panama,3.5
"Mad., Java, PNG",3.5
Grenada,3.5
Samoa,3.5
"Ven., Indonesia, Ecuad.",3.5
"Peru, Mad., Dom. Rep.",3.5
"Ven, Trinidad, Ecuador",3.25
Nigeria,3.25
Gabon,3.25
"Peru, Ecuador",3.25
Suriname,3.25
"Ecuador, Costa Rica",3.25
Liberia,3.25
Cameroon,3.25
Madagascar & Ecuador,3.25
West Africa,3.25
Burma,3.0
"Ven., Trinidad, Mad.",3.0
Ivory Coast,3.0
"South America, Africa",3.0
Sri Lanka,3.0
"Ecuador, Mad., PNG",3.0
"Peru, Ecuador, Venezuela",3.0
"Venezuela, Carribean",3.0
"Venezuela, Ghana",3.0
"Ghana, Domin. Rep",3.0
"Colombia, Ecuador",3.0
"Ghana, Panama, Ecuador",3.0
El Salvador,3.0
"Peru(SMartin,Pangoa,nacional)",3.0
Carribean(DR/Jam/Tri),3.0
"Venezuela, Dom. Rep.",2.75
Puerto Rico,2.75
Martinique,2.75
"Africa, Carribean, C. Am.",2.75
"Cost Rica, Ven",2.75
Trinidad-Tobago,2.75
Principe,2.75
"Venezuela, Trinidad",2.5
,2.5
"Peru, Madagascar",2.5
Ghana & Madagascar,2.0
